num,x,y,z,q1,q2,q3,q4
0,-1.0,-1.0,0,0,0,0,0
1,0,-5.0,1.57,0,0,0,0
2,3.0,-5.0,-3.14,0,0,0,0
3,3.0,3.0,-1.57,0,0,0,0
4,-2.0,2.0,0,0,0,0,0
